date,timestamp_utc,country,actor,category,signal_level,narrative_type,business_risk,summary,source_type,confidence_score,market_sensitivity,humanitarian_relevance
15/3/2026,2026-03-15 06:20:00 UTC,Iran,State,Proxy Activity,Contested,Media Claim,Medium,Indirect signalling raised concern about escalation pathways outside formal state channels.,Media,0.19,0,3
15/3/2026,2026-03-15 07:00:00 UTC,Israel,Media Network,Humanitarian,Contested,Think Tank Note,Low,"Public concern centred on civilian exposure, service continuity, and humanitarian access.",Analytical,0.34,0,1
15/3/2026,2026-03-15 14:15:00 UTC,Israel,Market Actor,Trade,Verified,Market Signal,High,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Market,0.7,3,2
15/3/2026,2026-03-15 02:20:00 UTC,Lebanon,Proxy,Proxy Activity,Verified,Official Statement,High,Proxy-linked signalling raised concern about symbolic escalation and retaliatory messaging.,Official,0.9,1,3
15/3/2026,2026-03-15 19:15:00 UTC,Lebanon,Regional Actor,Diplomatic,Verified,Official Statement,Low,Statements and diplomatic contacts suggested efforts to signal position without closing off negotiation space.,Official,0.79,2,1
15/3/2026,2026-03-15 04:50:00 UTC,Malaysia,Regional Actor,Information,Contested,Social Media,Low,"Narrative competition intensified, increasing ambiguity between signal and amplification.",Social,0.2,0,0
15/3/2026,2026-03-15 19:50:00 UTC,Malaysia,Media Network,Proxy Activity,Contested,Media Claim,High,Indirect signalling raised concern about escalation pathways outside formal state channels.,Media,0.57,0,3
15/3/2026,2026-03-15 22:45:00 UTC,Qatar,Regional Actor,Diplomatic,Contested,Media Claim,Low,Mediation-related diplomacy appeared aimed at maintaining communication channels across actors.,Media,0.24,2,0
15/3/2026,2026-03-15 23:50:00 UTC,Qatar,State,Diplomatic,Contested,Social Media,Low,Regional outreach suggested an effort to preserve de-escalatory space.,Social,0.57,2,0
16/3/2026,2026-03-16 08:50:00 UTC,Iran,State,Diplomatic,Contested,Media Claim,Low,Senior officials signalled conditional openness to indirect talks through regional intermediaries.,Media,0.23,3,2
16/3/2026,2026-03-16 02:15:00 UTC,Qatar,Media Network,Cyber,Contested,Media Claim,High,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Media,0.37,2,0
16/3/2026,2026-03-16 00:20:00 UTC,Saudi Arabia,State,Trade,Verified,Official Statement,Medium,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Official,0.81,3,2
16/3/2026,2026-03-16 22:30:00 UTC,Saudi Arabia,State,Military,Verified,Official Statement,Medium,"Visible security signalling increased attention to posture, readiness, and deterrence.",Official,0.75,1,2
16/3/2026,2026-03-16 16:15:00 UTC,Singapore,State,Diplomatic,Contested,Think Tank Note,Medium,Statements and diplomatic contacts suggested efforts to signal position without closing off negotiation space.,Analytical,0.22,3,1
16/3/2026,2026-03-16 17:00:00 UTC,Singapore,Media Network,Trade,Contested,Media Claim,Low,Commercial commentary highlighted indirect exposure through logistics and finance.,Media,0.38,1,1
16/3/2026,2026-03-16 11:45:00 UTC,USA,Regional Actor,Information,Verified,Official Statement,Medium,"Narrative competition intensified, increasing ambiguity between signal and amplification.",Official,0.75,0,2
17/3/2026,2026-03-17 07:10:00 UTC,Iran,Regional Actor,Diplomatic,Verified,Official Statement,Medium,Foreign ministry messaging stressed deterrence while leaving space for mediated de-escalation.,Official,0.76,3,0
17/3/2026,2026-03-17 12:00:00 UTC,Malaysia,State,Humanitarian,Verified,Market Signal,Low,"Public concern centred on civilian exposure, service continuity, and humanitarian access.",Market,0.67,1,2
17/3/2026,2026-03-17 04:20:00 UTC,Saudi Arabia,Market Actor,Energy,Contested,Official Statement,High,"Market sensitivity increased around energy transit, insurance exposure, and risk perception.",Official,0.57,3,2
17/3/2026,2026-03-17 05:00:00 UTC,Saudi Arabia,Regional Actor,Trade,Verified,Market Signal,High,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Market,0.93,1,0
17/3/2026,2026-03-17 18:00:00 UTC,Singapore,State,Information,Contested,Official Statement,Low,"Narrative competition intensified, increasing ambiguity between signal and amplification.",Official,0.35,2,2
17/3/2026,2026-03-17 12:15:00 UTC,UAE,Regional Actor,Humanitarian,Contested,Media Claim,Medium,"Public concern centred on civilian exposure, service continuity, and humanitarian access.",Media,0.3,1,1
17/3/2026,2026-03-17 17:20:00 UTC,UAE,Market Actor,Cyber,Contested,Official Statement,Medium,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Official,0.23,1,0
18/3/2026,2026-03-18 07:00:00 UTC,Indonesia,Regional Actor,Diplomatic,Verified,Think Tank Note,Low,Diplomatic posture prioritised de-escalation and multilateral engagement.,Analytical,0.83,2,0
18/3/2026,2026-03-18 19:15:00 UTC,Lebanon,Proxy,Information,Contested,Social Media,Medium,Competing accounts increased ambiguity over intent and authorship.,Social,0.27,0,0
18/3/2026,2026-03-18 16:50:00 UTC,Qatar,Media Network,Proxy Activity,Contested,OSINT Report,High,Indirect signalling raised concern about escalation pathways outside formal state channels.,Open Source,0.54,0,1
18/3/2026,2026-03-18 20:30:00 UTC,Qatar,State,Proxy Activity,Verified,Official Statement,Medium,Indirect signalling raised concern about escalation pathways outside formal state channels.,Official,0.67,2,2
18/3/2026,2026-03-18 08:10:00 UTC,Saudi Arabia,Market Actor,Information,Verified,OSINT Report,Low,"Narrative competition intensified, increasing ambiguity between signal and amplification.",Open Source,0.9,0,1
18/3/2026,2026-03-18 08:15:00 UTC,Singapore,Regional Actor,Diplomatic,Contested,Think Tank Note,Low,Statements and diplomatic contacts suggested efforts to signal position without closing off negotiation space.,Analytical,0.22,1,1
18/3/2026,2026-03-18 13:15:00 UTC,USA,Think Tank,Cyber,Contested,Think Tank Note,Medium,"Reporting referenced cyber activity, but attribution and impact remained only partially verified.",Analytical,0.33,0,1
19/3/2026,2026-03-19 07:15:00 UTC,Iran,Media Network,Energy,Contested,Social Media,High,Energy-linked commentary increased market sensitivity around regional shipping and pricing expectations.,Social,0.18,1,1
19/3/2026,2026-03-19 14:15:00 UTC,Iran,Regional Actor,Diplomatic,Verified,Official Statement,Low,Senior officials signalled conditional openness to indirect talks through regional intermediaries.,Official,0.88,3,2
19/3/2026,2026-03-19 00:45:00 UTC,Israel,State,Military,Verified,Official Statement,High,Official messaging framed force readiness as precautionary rather than escalatory.,Official,0.73,1,3
19/3/2026,2026-03-19 15:00:00 UTC,Israel,State,Trade,Contested,OSINT Report,Medium,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Open Source,0.3,2,1
19/3/2026,2026-03-19 12:00:00 UTC,Malaysia,Regional Actor,Diplomatic,Verified,Think Tank Note,Medium,"Statements emphasised sovereignty, stability, and non-escalation.",Analytical,0.72,3,2
19/3/2026,2026-03-19 21:45:00 UTC,Malaysia,State,Proxy Activity,Contested,Media Claim,High,Indirect signalling raised concern about escalation pathways outside formal state channels.,Media,0.46,2,1
19/3/2026,2026-03-19 04:00:00 UTC,Saudi Arabia,Regional Actor,Trade,Verified,Official Statement,Low,"Commercial and logistics actors assessed exposure to insurance, freight, and compliance shifts.",Official,0.63,3,0
19/3/2026,2026-03-19 21:10:00 UTC,Saudi Arabia,Market Actor,Energy,Verified,Market Signal,Medium,"Market sensitivity increased around energy transit, insurance exposure, and risk perception.",Market,0.71,3,1
